SPECTRUM - MS
20210126_ADHclean.RAW
FTMS + p NSI Full ms [1500.0000-15000.0000]
Scan #: 5-162
RT: 0.13-3.89
AV: 150
Data points: 51817
Mass	Intensity
1519.613897	0.000000
1519.645693	0.000000
1519.677489	0.000000
1519.709287	0.000000
1519.741086	1.526538
1519.772885	3.069176
1519.804686	3.992056
1519.836488	3.712799
1519.868290	2.420672
1519.900094	0.021309
1519.931898	0.000000
1519.963704	0.000000
1519.995511	0.000000
1520.027318	0.000000
1520.631853	0.000000
1520.663681	0.000000
1520.695510	0.000000
1520.727339	0.000000
1520.759170	1.901130
1520.791002	3.279312
1520.822834	3.985697
1520.854668	3.412069
1520.886502	1.875273
1520.918338	0.018401
1520.950175	0.000000
1520.982012	0.000000
1521.013851	0.000000
1521.045691	0.000000
1525.321259	0.000000
1525.353234	0.000000
1525.385210	0.000000
1525.417187	0.000000
1525.449165	1.529105
1525.481144	3.081662
1525.513124	3.979115
1525.545105	7.008336
1525.577087	9.192729
1525.609070	10.252494
1525.641054	9.012466
1525.673039	6.874670
1525.705025	4.283665
1525.737012	3.438762
1525.769000	1.732899
1525.800989	0.013551
1525.832979	0.000000
1525.864970	0.000000
1525.896962	0.000000
1525.928955	0.000000
1528.331306	0.000000
1528.363376	0.000000
1528.395446	0.000000
1528.427518	0.000000
1528.459591	2.087579
1528.491665	3.587737
1528.523739	4.044178
1528.555815	3.176899
1528.587892	1.714437
1528.619969	0.014637
1528.652048	0.000000
1528.684128	0.000000
1528.716209	0.000000
1528.748290	0.000000
1528.780373	3.788810
1528.812457	7.011951
1528.844542	8.350038
1528.876628	6.830846
1528.908715	3.602357
1528.940802	0.036976
1528.972891	0.000000
1529.004981	0.000000
1529.037072	0.000000
1529.069164	0.000000
1531.671965	0.000000
1531.704140	0.000000
1531.736316	0.000000
1531.768493	0.000000
1531.800671	1.378980
1531.832849	2.872982
1531.865029	3.778423
1531.897210	3.524638
1531.929392	2.304705
1531.961575	0.019596
1531.993759	0.000000
1532.025944	0.000000
1532.058130	0.000000
1532.090317	0.000000
1533.604253	0.000000
1533.636489	0.000000
1533.668725	0.000000
1533.700963	0.000000
1533.733202	3.307706
1533.765442	6.751451
1533.797683	8.737750
1533.829925	8.023557
1533.862168	5.182340
1533.894411	1.536969
1533.926656	0.013269
1533.958902	0.000000
1533.991149	0.000000
1534.023397	0.000000
1534.055646	0.000000
1534.571768	0.000000
1534.604035	0.000000
1534.636302	0.000000
1534.668570	0.000000
1534.700840	1.364518
1534.733110	2.805277
1534.765381	3.735410
1534.797654	3.633362
